,time,instructions,L1-dcache-load-misses,branch-misses,L2-misses,iTLB-load-misses,dTLB-store-misses,branch-load-misses,L1-icache-load-misses,cycles,dTLB-load-misses,cpi
853,341.781991555,1.0,0.037602676982536755,0.0047035466036477935,0.007603844823971705,1.6605793179702817e-05,0.0005418580477109004,0.00470224277249199,0.0010015537242491985,1.1970031812469175,0.00473391155763481,1.1970031812469175
854,342.182189932,1.0,0.03755037526108468,0.00469586556420777,0.007603034282149422,1.5604973244523348e-05,0.0005386817272609002,0.004713158914167585,0.0009897983379672294,1.200489590791428,0.004731262210835592,1.200489590791428
855,342.582399336,1.0,0.037679337985160356,0.004724724508628915,0.007542082148941258,1.5068246451826825e-05,0.00053814453053611,0.004718303268964477,0.001012944647948937,1.1962687909650715,0.0047251932985185275,1.1962687909650715
856,342.982599969,1.0,0.03762660118821125,0.004719077314568507,0.007420415503621177,1.2038714514571967e-05,0.000538053230788895,0.0047424040525055056,0.0010163356466199808,1.2012745686411113,0.00471023759770801,1.2012745686411113
857,343.382792903,1.0,0.037404398240798095,0.004699162167073386,0.007450459112030157,1.005500061943015e-05,0.0005289273464414303,0.004692300694959894,0.0010039780343156428,1.1847655923951317,0.004687557843711148,1.1847655923951317
858,343.783002649,1.0,0.037384471718122994,0.004733270531829044,0.0073469569655181454,1.190243136942685e-05,0.0005291301193846095,0.004742122285649782,0.0010189651304203934,1.1805504898064716,0.004676468650241542,1.1805504898064716
859,344.183202022,1.0,0.037394667085277375,0.004702867984839522,0.007311788401331295,1.5182399590762117e-05,0.0005220316378542935,0.004713149630265009,0.0010349884264760233,1.1767105044052888,0.0046587753949543205,1.1767105044052888
860,344.583409382,1.0,0.037476228959344104,0.00472508073702489,0.007388239891233832,1.4102656194190109e-05,0.0005352398936624139,0.004735672988974408,0.0010205549038717421,1.1837259776108937,0.0046608908590385165,1.1837259776108937
861,344.983583693,1.0,0.03786895121403713,0.004762816547188674,0.007680805956896604,2.6172037081398935e-05,0.0005366451483019099,0.004708614054655379,0.0013978830258010225,1.2428835069111235,0.0047133069051924345,1.2428835069111235
862,345.383802766,1.0,0.038181850037301616,0.004703588668089215,0.008272958993714977,3.6734087590620505e-05,0.0005482259144113028,0.0047187385985673035,0.001282268545335478,1.298321065069887,0.0048248833655078465,1.298321065069887
